file	nuc_num	celltype	area	dapi_intensity	a647_intensity	a488_intensity
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	13	NES	25408	2062994390.000000	277076866.000000	526777935.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	14	NES	27084	2087881127.000000	289694264.000000	590413019.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	15	NES	24624	2087380738.000000	294510161.000000	498540318.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	16	NES	22475	1920438594.000000	256724214.000000	556746487.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	17	NES	34383	2448756088.000000	433962628.000000	694881685.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	18	NES	24300	1937106723.000000	277213379.000000	587568249.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	19	NES	24862	1722486607.000000	260585543.000000	474478893.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	20	NES	562	16722726.000000	5940001.000000	6638557.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	21	NES	33334	3857727811.000000	455576461.000000	788752653.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	22	NES	627	18594429.000000	6654509.000000	7278161.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	23	NES	18211	1707555191.000000	203535964.000000	502339806.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	24	NES	25509	1907750074.000000	272330379.000000	497610292.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	25	NES	23107	1858071146.000000	246992747.000000	449414899.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	26	NES	22363	1911378622.000000	243015588.000000	476016637.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	27	NES	34425	2698176133.000000	406040998.000000	720524633.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	28	NES	23176	1905937087.000000	289649512.000000	516740975.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	29	NES	26841	1966915279.000000	299919351.000000	484051302.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	30	NES	33017	2884523943.000000	432907863.000000	718663837.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	31	NES	28235	1919352336.000000	305880155.000000	535020962.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	32	NES	21248	1699592883.000000	228296758.000000	440505592.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	33	NES	34480	3555002224.000000	395281692.000000	885584161.000000
